"sample","mz","HC","OC","DBE","DBE_O","AImod","NOSC","GFE","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","H","O","C","N","S","sum","nformula"
"LR67",536.005442644306,1.07823721002658,0.537555597509076,12.6410100325387,-0.353298991976672,0.320173623556913,0.0524510378011925,58.805145422666,10.545677669121,26.3368959833308,40.5889344372404,15.1735970722603,5.44019916804327,5.86289888279335,14.7508973575103,68.8405260905754,6.95857574639013,3.58710192273086,0,26.4125385280579,12.9943090245154,24.6818160728522,0.330926447430888,0.054261667711568,9.99721269624876e-06,13737
"PR25",533.236523979159,1.08103273586093,0.537625521181697,12.54095532955,-0.379028916192463,0.31819217255127,0.0504818572226548,58.8612670691543,10.6019374367768,26.4541328343906,40.8116264204362,14.9037369593647,5.38397325275962,5.82714142120986,14.4605687909145,69.1103523510989,7.03153579119327,3.57040164558351,0,26.3462789935851,12.9199842457425,24.547636223571,0.332917205543137,0.0564185283457058,9.99890507752143e-06,13737
"PR29",535.617580654066,1.08066983961164,0.536723101932319,12.6013783791441,-0.371258615654023,0.318213467855922,0.0482957129627572,58.9235721805614,10.5037106125494,26.5362231102142,40.8157273400714,15.0606830343408,5.28233984747193,5.75592670767264,14.5870961741401,69.1532665056378,6.94291710059714,3.56079351195229,0,26.468008324722,12.9726369947982,24.6699580404179,0.330849002174467,0.0557084706626193,9.99868485721344e-06,13737
"L329.1",545.830723537985,1.07663307153455,0.535202413044804,12.873199113287,-0.340109245060322,0.320253344317798,0.046721594261584,58.9684345635449,9.93556520907432,26.9898042677749,40.7937494394754,15.348735678802,5.13648823129905,5.60197287650201,14.883251033599,69.5792108808246,6.60393924672122,3.3316259623531,0,26.93911361655,13.2133083583473,25.1806231299284,0.324265583267179,0.0511119681028677,1e-05,13737
"PR32",537.578916430227,1.07773263642642,0.538238531067417,12.678412460651,-0.360257970184041,0.32046124222554,0.0539280208542306,58.7630514056544,10.5770199899807,26.2178415360985,40.6364408573635,15.1365066653591,5.50304240343349,5.91689999758266,14.7226490712099,68.7834309412267,6.9597158231046,3.6173041668761,0,26.4816311168141,13.0386704308351,24.7552084619494,0.328039114217513,0.0528231156604349,1e-05,13737
"RO1.02",525.457305277999,1.08287830146459,0.538164450263625,12.3545660392543,-0.381621117454146,0.317410757181033,0.0517400931737991,58.8254073445467,11.0054055717797,26.1247206012486,40.5580201499011,15.0740745981912,5.44204223421101,5.90112919805602,14.6149876343462,68.4784775958181,7.2372907158738,3.76811485590586,0,25.9500216988107,12.7361871567084,24.1586716659283,0.341810445462622,0.0596400919413387,9.99882435666085e-06,13737
"RO1.04",529.595195478474,1.08165954772213,0.537222675133588,12.4593933107662,-0.36914595123269,0.318075401710946,0.0501222987091749,58.8715144867885,10.8249537971473,26.2781585058352,40.5835354825764,15.1013645401541,5.39269007424489,5.84531624138934,14.6487383730096,68.6809915884538,7.13123767811918,3.69371611902811,0,26.1621087576397,12.8285392619989,24.3705051657922,0.339885047587554,0.0575113279115926,9.99986661424974e-06,13737
"RO1.06",527.679299759817,1.08242436787536,0.537252985005,12.4097752222846,-0.372024286525974,0.317643044477606,0.0497209897014445,58.8829517935088,10.8658250255562,26.3315541783581,40.5394536322657,15.0894525072461,5.38078454119814,5.85207269869368,14.6181643497506,68.6639379259995,7.15968190945794,3.70614311609828,0,26.0742442477496,12.7817995088105,24.2765379922076,0.340718707903597,0.0586431585984662,9.99847966156823e-06,13737
"RO2.31",527.180170013487,1.08199871802944,0.537704354202419,12.4048240816896,-0.369578756327521,0.317924260293413,0.0511296979639229,58.8428036080282,10.8711493348549,26.254506147029,40.5315067455658,15.080388549208,5.43877578262304,5.89284942524679,14.6263149065842,68.6096863333141,7.17580039603759,3.69534893881728,0,26.0271009321421,12.7744028380171,24.2484976223699,0.339753850781462,0.0591650825275162,9.99959829441374e-06,13737
"L329.2",543.887274508801,1.07845241800659,0.534492214743163,12.8119745261088,-0.344670109091872,0.319187480630683,0.0439074808198642,59.0486367966339,10.0390922613542,27.1630223383612,40.6775924562078,15.3356371742339,5.06181364893422,5.53596456150464,14.8614862616634,69.5634569154777,6.63935884808795,3.39973341326625,0,26.8862222160925,13.1566446352006,25.0912733377876,0.327624592734977,0.0524052439853971,1e-05,13737
